Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
doom_e2m2_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE2M3,items,Item,,,,E2M3 Teleporter
doomNoteE2M3Desc,items,Item,,,,A teleporter pad that takes you into E2M3: Refinery.
doom_e2m3_name,quests,Quest,,,,E2M3: Refinery
doom_e2m3_subtitle,quests,Quest,,,,E2M3: Refinery
doom_e2m3_desc,quests,Quest,,,,Find a way into E2M3 and clear it out.
doom_e2m3_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE2M4,items,Item,,,,E2M4 Teleporter
doomNoteE2M4Desc,items,Item,,,,A teleporter pad that takes you into E2M4: Deimos Lab.
doom_e2m4_name,quests,Quest,,,,E2M4: Deimos Lab
doom_e2m4_subtitle,quests,Quest,,,,E2M4: Deimos Lab
doom_e2m4_desc,quests,Quest,,,,Find a way into E2M4 and clear it out.
doom_e2m4_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE2M5,items,Item,,,,E2M5 Teleporter
doomNoteE2M5Desc,items,Item,,,,A teleporter pad that takes you into E2M5: Command Center.
doom_e2m5_name,quests,Quest,,,,E2M5: Command Center
doom_e2m5_subtitle,quests,Quest,,,,E2M5: Command Center
doom_e2m5_desc,quests,Quest,,,,Find a way into E2M5 and clear it out.
doom_e2m5_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE2M6,items,Item,,,,E2M6 Teleporter
doomNoteE2M6Desc,items,Item,,,,A teleporter pad that takes you into E2M6: Halls of the Damned.
doom_e2m6_name,quests,Quest,,,,E2M6: Halls of the Damned
doom_e2m6_subtitle,quests,Quest,,,,E2M6: Halls of the Damned
doom_e2m6_desc,quests,Quest,,,,Find a way into E2M6 and clear it out.
doom_e2m6_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE2M7,items,Item,,,,E2M7 Teleporter
doomNoteE2M7Desc,items,Item,,,,A teleporter pad that takes you into E2M7: Spawning Vats.\n\n[FF4F00]Warning:\nHas inescapable pit of death.\nHot Start.[-]
doom_e2m7_name,quests,Quest,,,,E2M7: Spawning Vats
doom_e2m7_subtitle,quests,Quest,,,,E2M7: Spawning Vats
doom_e2m7_desc,quests,Quest,,,,Find a way into E2M7 and clear it out.
doom_e2m7_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE2M8,items,Item,,,,E2M8 Teleporter
doomNoteE2M8Desc,items,Item,,,,A teleporter pad that takes you into E2M8: Tower of Babel.
doom_e2m8_name,quests,Quest,,,,E2M8: Tower of Babel
doom_e2m8_subtitle,quests,Quest,,,,E2M8: Tower of Babel
doom_e2m8_desc,quests,Quest,,,,Find a way into E2M8 and clear it out.
doom_e2m8_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE2M9,items,Item,,,,E2M9 Teleporter
doomNoteE2M9Desc,items,Item,,,,A teleporter pad that takes you into E2M9: Fortress of Mystery.
doom_e2m9_name,quests,Quest,,,,E2M9: Fortress of Mystery
doom_e2m9_subtitle,quests,Quest,,,,E2M9: Fortress of Mystery
doom_e2m9_desc,quests,Quest,,,,Find a way into E2M9 and clear it out.
doom_e2m9_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE3M1,items,Item,,,,E3M1 Teleporter
doomNoteE3M1Desc,items,Item,,,,A teleporter pad that takes you into E3M1: Hell Keep.
doom_e3m1_name,quests,Quest,,,,E3M1: Hell Keep
doom_e3m1_subtitle,quests,Quest,,,,E3M1: Hell Keep
doom_e3m1_desc,quests,Quest,,,,Find a way into E3M1 and clear it out.
doom_e3m1_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE3M2,items,Item,,,,E3M2 Teleporter
doomNoteE3M2Desc,items,Item,,,,A teleporter pad that takes you into E3M2: Slough of Despair.
doom_e3m2_name,quests,Quest,,,,E3M2: Slough of Despair
doom_e3m2_subtitle,quests,Quest,,,,E3M2: Slough of Despair
doom_e3m2_desc,quests,Quest,,,,Find a way into E3M2 and clear it out.
doom_e3m2_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE3M3,items,Item,,,,E3M3 Teleporter
doomNoteE3M3Desc,items,Item,,,,A teleporter pad that takes you into E3M3: Pandemonium.\n\n[FF4F00]Warning:\nHas inescapable pit of death.\nHot Start.[-]
doom_e3m3_name,quests,Quest,,,,E3M3: Pandemonium
doom_e3m3_subtitle,quests,Quest,,,,E3M3: Pandemonium
doom_e3m3_desc,quests,Quest,,,,Find a way into E3M3 and clear it out.
doom_e3m3_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]".
doomNoteE3M4,items,Item,,,,E3M4 Teleporter
doomNoteE3M4Desc,items,Item,,,,A teleporter pad that takes you into E3M4: House of Pain.\n\n[FF4F00]Warning:\nHot Start.[-]
doom_e3m4_name,quests,Quest,,,,E3M4: House of Pain
doom_e3m4_subtitle,quests,Quest,,,,E3M4: House of Pain
doom_e3m4_desc,quests,Quest,,,,Find a way into E3M4 and clear it out.
doom_e3m4_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE3M5,items,Item,,,,E3M5 Teleporter
doomNoteE3M5Desc,items,Item,,,,A teleporter pad that takes you into E3M5: Unholy Cathedral.
doom_e3m5_name,quests,Quest,,,,E3M5: Unholy Cathedral
doom_e3m5_subtitle,quests,Quest,,,,E3M5: Unholy Cathedral
doom_e3m5_desc,quests,Quest,,,,Find a way into E3M5 and clear it out.
doom_e3m5_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE3M6,items,Item,,,,E3M6 Teleporter
doomNoteE3M6Desc,items,Item,,,,A teleporter pad that takes you into E3M6: Mt. Erebus.
doom_e3m6_name,quests,Quest,,,,E3M6: Mt. Erebus
doom_e3m6_subtitle,quests,Quest,,,,E3M6: Mt. Erebus
doom_e3m6_desc,quests,Quest,,,,Find a way into E3M6 and clear it out.
doom_e3m6_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE3M7,items,Item,,,,E3M7 Teleporter
doomNoteE3M7Desc,items,Item,,,,A teleporter pad that takes you into E3M7: Limbo.\n\n[FF4F00]Warning:\nHot Start[-].
doom_e3m7_name,quests,Quest,,,,E3M7: Limbo
doom_e3m7_subtitle,quests,Quest,,,,E3M7: Limbo
doom_e3m7_desc,quests,Quest,,,,Find a way into E3M7 and clear it out.
doom_e3m7_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]\n\n[FF4F00]Warning:\nVery dark[-]."
doomNoteE3M8,items,Item,,,,E3M8 Teleporter
doomNoteE3M8Desc,items,Item,,,,A teleporter pad that takes you into E3M8: Dis.
doom_e3m8_name,quests,Quest,,,,E3M8: Dis
doom_e3m8_subtitle,quests,Quest,,,,E3M8: Dis
doom_e3m8_desc,quests,Quest,,,,Find a way into E3M8 and clear it out.
doom_e3m8_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE3M9,items,Item,,,,E3M9 Teleporter
doomNoteE3M9Desc,items,Item,,,,A teleporter pad that takes you into E3M9: Warrens.
doom_e3m9_name,quests,Quest,,,,E3M9: Warrens
doom_e3m9_subtitle,quests,Quest,,,,E3M9: Warrens
doom_e3m9_desc,quests,Quest,,,,Find a way into E3M9 and clear it out.
doom_e3m9_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE4M1,items,Item,,,,E4M1 Teleporter
doomNoteE4M1Desc,items,Item,,,,A teleporter pad that takes you into E4M1: Hell Beneath.
doom_e4m1_name,quests,Quest,,,,E4M1: Hell Beneath
doom_e4m1_subtitle,quests,Quest,,,,E4M1: Hell Beneath
doom_e4m1_desc,quests,Quest,,,,Find a way into E4M1 and clear it out.
doom_e4m1_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE4M2,items,Item,,,,E4M2 Teleporter
doomNoteE4M2Desc,items,Item,,,,A teleporter pad that takes you into E4M2: Perfect Hatred.\n\n[FF4F00]Warning:\nHot Start[-].
doom_e4m2_name,quests,Quest,,,,E4M2: Perfect Hatred
doom_e4m2_subtitle,quests,Quest,,,,E4M2: Perfect Hatred
doom_e4m2_desc,quests,Quest,,,,Find a way into E4M2 and clear it out.
doom_e4m2_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE4M3,items,Item,,,,E4M3 Teleporter
doomNoteE4M3Desc,items,Item,,,,A teleporter pad that takes you into E4M3: Sever the Wicked.\n\n[FF4F00]Warning:\nHot Start[-].
doom_e4m3_name,quests,Quest,,,,E4M3: Sever the Wicked
doom_e4m3_subtitle,quests,Quest,,,,E4M3: Sever the Wicked
doom_e4m3_desc,quests,Quest,,,,Find a way into E4M3 and clear it out.
doom_e4m3_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]\n\n[FF4F00]Warning:\nHot Start[-]"
doomNoteE4M4,items,Item,,,,E4M4 Teleporter
doomNoteE4M4Desc,items,Item,,,,A teleporter pad that takes you into E4M4: Unruly Evil.\n\n[FF4F00]Warning:\nHot Start[-].
doom_e4m4_name,quests,Quest,,,,E4M4: Unruly Evil
doom_e4m4_subtitle,quests,Quest,,,,E4M4: Unruly Evil
doom_e4m4_desc,quests,Quest,,,,Find a way into E4M4 and clear it out.
doom_e4m4_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE4M5,items,Item,,,,E4M5 Teleporter
doomNoteE4M5Desc,items,Item,,,,A teleporter pad that takes you into E4M5: They Will Repent.
doom_e4m5_name,quests,Quest,,,,E4M5: They Will Repent
doom_e4m5_subtitle,quests,Quest,,,,E4M5: They Will Repent
doom_e4m5_desc,quests,Quest,,,,Find a way into E4M5 and clear it out.
doom_e4m5_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE4M6,items,Item,,,,E4M6 Teleporter
doomNoteE4M6Desc,items,Item,,,,A teleporter pad that takes you into E4M6: Against thee Wickedly.
doom_e4m6_name,quests,Quest,,,,E4M6: Against thee Wickedly
doom_e4m6_subtitle,quests,Quest,,,,E4M6: Against thee Wickedly
doom_e4m6_desc,quests,Quest,,,,Find a way into E4M6 and clear it out.
doom_e4m6_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE4M7,items,Item,,,,E4M7 Teleporter
doomNoteE4M7Desc,items,Item,,,,A teleporter pad that takes you into E4M7: And Hell Followed.\n\n[FF4F00]Warning:\nHas inescapable pit of death[-].
doom_e4m7_name,quests,Quest,,,,E4M7: And Hell Followed
doom_e4m7_subtitle,quests,Quest,,,,E4M7: And Hell Followed
doom_e4m7_desc,quests,Quest,,,,Find a way into E4M7 and clear it out.
doom_e4m7_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]\n\n[FF4F00]Warning:\nInescapable pit of death[-]"
doomNoteE4M8,items,Item,,,,E4M8 Teleporter
doomNoteE4M8Desc,items,Item,,,,A teleporter pad that takes you into E4M8: Unto the Cruel.\n\n[FF4F00]]Warning:\nHot Start[-].
doom_e4m8_name,quests,Quest,,,,E4M8: Unto the Cruel
doom_e4m8_subtitle,quests,Quest,,,,E4M8: Unto the Cruel
doom_e4m8_desc,quests,Quest,,,,Find a way into E4M8 and clear it out.
doom_e4m8_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE4M9,items,Item,,,,E4M9 Teleporter
doomNoteE4M9Desc,items,Item,,,,A teleporter pad that takes you into E4M9: Fear.\n\n[FF4F00]Warning:\nHot Start[-].
doom_e4m9_name,quests,Quest,,,,E4M9: Fear
doom_e4m9_subtitle,quests,Quest,,,,E4M9: Fear
doom_e4m9_desc,quests,Quest,,,,Find a way into E4M9 and clear it out.
doom_e4m9_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteMAP01,items,Item,,,,MAP01 Teleporter
doomNoteMAP01Desc,items,Item,,,,A teleporter pad that takes you into MAP01: Entryway.
doom_map01_name,quests,Quest,,,,MAP01: Entryway
doom_map01_subtitle,quests,Quest,,,,MAP01: Entryway
doom_map01_desc,quests,Quest,,,,Find a way into MAP01 and clear it out.
doom_map01_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteMAP02,items,Item,,,,MAP02 Teleporter ([42C234]Easy[-])
doomNoteMAP02Desc,items,Item,,,,A teleporter pad that takes you into MAP02: Underhalls.
doom_map02_name,quests,Quest,,,,MAP02: Underhalls
doom_map02_subtitle,quests,Quest,,,,MAP02: Underhalls
doom_map02_desc,quests,Quest,,,,Find a way into MAP02 and clear it out.
doom_map02_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteMAP03,items,Item,,,,MAP03 Teleporter ([42C234]Easy[-])
doomNoteMAP03Desc,items,Item,,,,A teleporter pad that takes you into MAP03: The Gantlet.
doom_map03_name,quests,Quest,,,,MAP03: The Gantlet
doom_map03_subtitle,quests,Quest,,,,MAP03: The Gantlet
doom_map03_desc,quests,Quest,,,,Find a way into MAP03 and clear it out.
doom_map03_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteMAP04,items,Item,,,,MAP04 Teleporter ([42C234]Easy[-])
doomNoteMAP04Desc,items,Item,,,,A teleporter pad that takes you into MAP04: The Focus.
doom_map04_name,quests,Quest,,,,MAP04: The Focus
doom_map04_subtitle,quests,Quest,,,,MAP04: The Focus
doom_map04_desc,quests,Quest,,,,Find a way into MAP04 and clear it out.
doom_map04_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteMAP05,items,Item,,,,MAP05 Teleporter ([42C234]Easy[-])
doomNoteMAP05Desc,items,Item,,,,A teleporter pad that takes you into MAP05: The Waste Tunnels.
doom_map05_name,quests,Quest,,,,MAP05: The Waste Tunnels
doom_map05_subtitle,quests,Quest,,,,MAP05: The Waste Tunnels
doom_map05_desc,quests,Quest,,,,Find a way into MAP05 and clear it out.
doom_map05_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
