Key,english
loadingTipDM3,"'Story in a game is like a story in a p*rn movie. It's expected to be there, but it's not important.'\n\n- John Carmack"
loadingTipDM3_title,Discover things on your own
loadingTipDM4,"You will be held solely responsible for any and all permanently lost items if you don't have 'drop nothing on death' for your server."
loadingTipDM4_title,Attention: Server Admins
Mod Not Installed Correctly,[FF4F00]Mod Not Installed Correctly[-]
ModNotInstalledCorrectlyText,"[FF4F00]This mod hasn't been installed correctly and is missing critical files required for the mod to be 100% functional.[-]"


esc_footer_discord_label, Join the Discord!
ttLevelUp,You are now level {0}!
ttCraftingSkillUnlockQuality,You have unlocked {0} - {1}
buffCampfireAOEEffectDescDM,You are warmed by the fire.\n\nCold Resist +20\nHeat Resist -10
cntWoodenChestPlayer,Storage Chest Box
statStormDuration,Extended Storm Protection
utilitySinkDMwater,[57B9FF]Hold Jar to collect Water[-]
sinkKitchenDMwater,[57B9FF]Hold Jar to collect Water[-]
pedestalSinkDMwater,[57B9FF]Hold Jar to collect Water[-]
wallMountSinkCommercialDMwater,[57B9FF]Hold Jar to collect Water[-]
counterMountedSinkCommercialDMwater,[57B9FF]Hold Jar to collect Water[-]
counterMountedSinkCommercialOffsetDMwater,[57B9FF]Hold Jar to collect Water[-]
cntToilet01DMwater,[57B9FF]Hold Jar to collect Water[-]
cntToilet01DMdry,Toilet
cntToilet02DMwater,[57B9FF]Hold Jar to collect Water[-]
cntToilet02DMdry,Fancy Toilet
cntBarrelPlasticSingle00DMwater,[57B9FF]Hold Jar to collect Water[-]
cntBarrelPlasticSingle45DMwater,[57B9FF]Hold Jar to collect Water[-]
cntBarrelPlasticQuadADMwater,[57B9FF]Hold Jar to collect Water[-]
cntBarrelPlasticQuadBDMwater,[57B9FF]Hold Jar to collect Water[-]
cntWaterCoolerFullDMcleanwater,[57B9FF]Hold Jar to collect Water[-]
cntWaterCoolerFullDMpure,[57B9FF]Hold Jar to collect Water[-]
cntWaterCoolerFullSideCenteredDMcleanwater,[57B9FF]Hold Jar to collect Water[-]
cntWaterCoolerFullSideCenteredDMpure,[57B9FF]Hold Jar to collect Water[-]
cntWaterCoolerFullDMlootable,Water Cooler
cntWaterCoolerFullSideCenteredDMlootable,Water Cooler
cntWaterCoolerBottleDMcleanwater,[57B9FF]Hold Jar to collect Water[-]
cntWaterCoolerBottleDMpure,[57B9FF]Hold Jar to collect Water[-]
cntWaterCoolerBottleSideCenteredDMcleanwater,[57B9FF]Hold Jar to collect Water[-]
cntWaterCoolerBottleSideCenteredDMpure,[57B9FF]Hold Jar to collect Water[-]
cntWaterCoolerBottleDMlootable,Water Cooler Bottle
cntWaterCoolerBottleSideCenteredDMlootable,Water Cooler Bottle
BoiledbucketWater,Bucket of Boiled Water
bucketBoiledWaterDesc,"Even though this is boiled, this can still make you sick and will give you an 8% infection due to the water being contaminated."
bucketInfectedWaterDesc,"It is strongly recommended to boil this water before drinking. Even then, it's not going to be safe to drink.\n\nYou'd have to be desperate to drink this."
AmmoFromDemonDesc,A bunch of ammo dropped from a former human.
HandgunDemonAmmo,Handful of Handgun Ammo
ShotgunDemonAmmo,Handful of Shotgun Ammo
ChaingunDemonAmmo,Handful of Chaingun Ammo
drinkJarRiverWaterDew,Murky Dew Water
drinkJarRiverWaterDewDesc,Dirty water gathered from a dew collector.\nNeeds to be poured into a jar.
drinkJarBoiledWaterDew,Clean Dew Water
drinkJarBoiledWaterDewDesc,Clean water gathered from a dew collector.\nNeeds to be poured into a jar.
CraftedItemJarRefundDesc,Were you careful enough to reuse your jar?\n\nIt is faster to receive your items by using the secondary action on your toolbelt.
foodSkillMagazineDescDM,Increases cooking XP by 500.\nCan give another 500 XP when you get a bonus from Book Worm perk.\n\n[FF4F00]Be mindful that XP will be lost if your XP needed for next level is less than 500.[-]
medicalSkillMagazineDescDM,Increases medical XP by 500.\nCan give another 500 XP when you get a bonus from Book Worm perk.\n\n[FF4F00]Be mindful that XP will be lost if your XP needed for next level is less than 500.[-]
foodBoneBrothBundle,Bone Broth
foodEggBoiledBundle,Boiled Egg
farmPlotBlockVariantHelperBundle,Farm Plot
drinkJarPureMineralWaterBundle,Pure Mineral Water
drugAntibioticsBundle,Antibiotics
drugHerbalAntibioticsBundle,Herbal Antibiotics
foodBlueberryPieBundle,Blueberry Pie
foodPumpkinPieBundle,Pumpkin Pie
foodPumpkinCheesecakeBundle,Pumpkin Cheesecake
foodPumpkinBreadBundle,Pumpkin Bread
foodBoiledMeatBundle,Boiled Meat
foodCornBreadBundle,Corn Bread
BoiledEggsBundle,Cooked Boiled Egg
foodAshChickenStewBundle,Ash Chicken Stew
foodRoadrunnerChickenJerkyBundle,Roadrunner Chicken Jerky
foodHoboStewBundle,Hobo Stew
foodMeatStewBundle,Meat Stew
foodGumboStewBundle,Gumbo Stew
foodSpaghettiBundle,Spaghetti
foodShamChowder,Shame Chowder
foodShamChowderBundle,Shame Chowder
foodCanSham,Can of Shame
foodShamSandwich,Old Shame Sandwich
foodHoneyGlazedSham,Honey Glazed Shame
foodVegetableStewBundle,Vegetable Stew
stimPackBundle,Stimpack
stimPackBlueBundle,Blue Stimpack
mediKitBundle,Medikit
mediKitBlueBundle,Blue Medikit
healthPotionBundle,Health Potion
medicalPlasterCastBundle,Plaster Cast
resourceConcreteMixBundle,Concrete Mix
resourceConcreteMixBundleDesc,Craft a batch of 100.\nRefunds the empty bucket.
resourceGlueBundle,Glue
resourcePaperBundle,Paper
resourceFertiliserBundle,Fertiliser
oldCashDescDM,"Vending machines like to eat cash for breakfast. Doesn't matter if this is legal tender or counterfeit, vending machines don't discriminate!"
ammoGasCan,Petrol
ammoGasCanDescDM,"Can be used to fuel chainsaws and vehicles and flamethrowers.\n\nStacks to 2000.\nFinding backpacks will increase the stack size, up to 10000."
DummyFuel,Dummy Petrol
DummyFuelDMDesc,"Due to game limitations, you'll need to load this ammo into the flamethrower and chainsaw for them to function."
ammoGasCanBundle,Petrol (5000)
ammoGasCanBundleDesc,This is a compact stack of petrol. Use this item to open and unpack it.
resourceAnimalHide,Animal Hide
resourceAnimalHidedesc,"Can't be used as is, can be cured by placing on the floor.\n\nCure time: 50 minutes."
resourceScrapSteel,Scrap Steel
rebarShapesDesc,A more convenient way to build with concrete.
rebarShapes:VariantHelper,Rebar Block
materialMrebar_weak_shapes,Rebar
banditMetalVariantHelper,Bandit Metal Building Block
banditWoodVariantHelper,Bandit Wooden Building Block
resourceBricks,Bricks
BricksDesc,Used to upgrade cobblestone blocks.
ArmourCosmeticDesc,Changes your appearance and provides no protection or effects.
ArmourSlot,Armour Slot
armourSecurityGreenBadge,Security Armour
armourSecurityGreenPowerUp,Security Armour ([42C234]Power Up[-])
SecurityArmourBadgeDesc,"While wearing this Security Armour, you'll take 40% less damage for as long as your armour has durability.\n\nWill break when your armour reaches 0."
SecurityArmourDesc,"Repairs 100 armour points.\n\nIf you are wearing Mega Armour (Blue, 60% protection), this will downgrade your armour to Security (Green, 40% protection)."
armourMegaBlueBadge,Mega Armour
armourMegaBluePowerUp,Mega Armour ([42C234]Power Up[-])
MegaArmourBadgeDesc,"While wearing this Mega Armour, you'll take 60% less damage for as long as your armour has durability.\n\nWill break when your armour reaches 0."
MegaArmourDesc,"Repairs 200 armour points.\n\nThis will upgrade your armour to 60% protection."
armourShard,Armour Shard
ArmourShardDesc,Repairs 4 armour points.\n\nRepairs up to 8 with Bonus Booster Perk.
healthPotion,Health Potion
HealthPotionDesc,Recovers 4 health points.\n\nRecovers up to 8 with Bonus Booster Perk.
stimPackweak,Stimpack (weak)
StimPackweakDesc,"Recovers 5 health points, up to 50% of max health.\nCures bleeding.\n\nCosts 1 food."
stimPack,Stimpack
StimPackDesc,"Recovers 10 health points, up to 50% of max health.\nCures bleeding.\n\nCosts 2 food."
mediKitweak,Medikit (weak)
MediKitweakDesc,"Recovers 13 health points, up to 50% of max health.\n\nCures Lacerations, Concussions and Bleeding.\n\nCosts 2 food."
mediKit,Medikit
MediKitDesc,"Recovers 25 health points, up to 50% of max health.\n\nCures Lacerations, Concussions and Bleeding.\n\nCosts 4 food."
stimPackBlue,Blue Stimpack
StimPackBlueDesc,Recovers 10 health points.\nCures bleeding.\n\nCosts 2 food.
mediKitBlue,Blue Medikit
MediKitBlueDesc,"Recovers 25 health points.\n\nCures Lacerations, Concussions and Bleeding.\n\nCosts 4 food."
berserkPack,Berserk Pack ([42C234]Power Up[-])
berserkPackDesc,"Will recover all health, up to 50%.\n\nIncreases damage with knuckles and knives by x5 for 150 seconds.\n\nYou shrug off 20% damage, this makes you thirsty."
LightAmplificationPowerup,Light Amplification Goggles
LightAmplificationPowerupDesc,Will provide 5 minutes of full visibility to overcome the darkness.\n\nCan stack up to 3 uses.
buffLightAmplificationName,Light Amplification Goggles
buffLightAmplificationDesc,You have full visibility to overcome the darkness.
buffLightAmplificationTooltip,Visibility has improved for you.
HazmatSuitPowerup,Hazmat Suit ([42C234]Power Up[-])
HazmatSuitPowerupDesc,"Using this will protect you from the radiation in the wasteland biome while outdoors for 30 minutes.\n\nWhile in Classic Doom Levels, this will protect you from hazardous floors and degrades rapidly while doing so."
InvulnerabilityPowerup,Invulnerability ([42C234]Power Up[-])
InvulnerabilityPowerupDesc,Will make you immortal for 40 seconds.\n\nDoes not stack.\n\nDoes NOT apply to storms or biome hazards.
soulSphere,Soul Sphere ([42C234]Power Up[-])
soulSphereDesc,Recovers 100 health points.
megaSphere,Mega Sphere ([42C234]Power Up[-])
megaSphereDesc,Recovers 200 health points.\nRepairs 200 armour points.
NutrientGracePeriod,Grace Period
NutrientGracePeriodDesc,"For 70 minutes, your Hunger and Thirst will remain full, you're immune to infection and your armour won't fully break.\n\nYour health will recover by 1 every 60 seconds.\nYou and your armour take less damage for every hit you receive."
buffBerserk,Berserk
buffBerserkName,Berserk
buffBerserkDesc,Melee damage increased to 500%.
buffBerserkTooltip,[CF7F29]RIP AND TEAR!![-]
buffHazmatSuitName,Hazmat Suit
buffHazmatSuitDesc,You are protected from the radiation in the wasteland for as long as your suit endures the harmful effects of the biome.
buffHazmatSuitTooltip,You're wearing a Hazmat Suit.
DamagedHazmatSuitToolTip,[FF4F00]Hazmat Suit Critically Damaged![-]
buffInvulnerability,Invulnerability
buffInvulnerabilityName,Invulnerability
buffInvulnerabilityDesc,You're immune to all damage and critical injuries.
buffInvulnerabilityTooltip,[CF7F29]You are Immortal![-]
foodChickenNuggetsDescDM,"Light, lean, and perfect for life on the road. This simple chicken meal won't weigh you down and keeps you moving like a true wasteland wanderer.\n\nTemporarily jump higher!"
buffChickenNuggetsDescDM,"You mean to tell me that DoomGuy could jump this whole time? He just chose not to!"
ttOutOfStamina,[FF4F00]Your Armour Broke![-]
ZeroArmourtooltip,[FF4F00]Your Armour Broke![-]
EquipArmourToolTip,[FF4F00]Use Security Armour to Equip Your Armour![-]
buffInfection01DMUntreatedDesc,"You have a mild infection.\nIt will get worse until treated by antibiotics.\n\nAs your infection gets worse, your max health will fall.\n\nYou have a mild fever that increases your rate of hunger and thirst by 10%."
buffInfection01GetBetterDesc,"You have treated your infection.\n\nYour max health starts to recover.\n\nYou still have a mild fever that increases your rate of hunger and thirst by 10%."
buffInfection02DMUntreatedDesc,"You have a growing infection.\n\nYour max health continues to fall.\n\nYour fever has worsened and increases your rate of hunger and thirst by 20%."
buffInfection02GetBetterDesc,"You have treated your infection. But is it enough?\n\nYour max health starts to recover.\n\nYour fever continues to increase your rate of hunger and thirst by 20%."
buffInfection03DMUntreatedDesc,"Your infection is in its final stage, without treatment you WILL die!\n\nYour max health has fallen critically.\n\nYour fever is severe and increases your rate of hunger and thirst by 30%.\n\nYour infection is starting to slowly kill you!"
buffInfection03GetBetterDesc,"You have treated your infection, but you're a long way from recovery!\n\nYour max health starts to recover.\n\nYour fever is still severe and increases your rate of hunger and thirst by 30%."
buffStatusHungry01DescDM,"You're starting to get hungry and your max health is dropping. \n\nMax health lowered by {cvar($buffStatusPeckishBlockage:0.0)} x2"
buffStatusHungry02DescDM,"You're getting very hungry and your max health is dropping further. \n\nMax health lowered by {cvar($buffStatusPeckishBlockage:0.0)} x2"
buffStatusHungry03DescDM,"You're starving and your max health has dropped. \n\nMax health lowered by {cvar($buffStatusPeckishBlockage:0.0)} x2"
buffStatusThirsty01DescDM,"You're starting to get thirsty and your max health is dropping. \n\nMax health lowered by {cvar($buffStatusParchedBlockage:0.0)} x2"
buffStatusThirsty02DescDM,"You're getting very thirsty and your max health is dropping further. \n\nMax health lowered by {cvar($buffStatusParchedBlockage:0.0)} x2"
buffStatusThirsty03DescDM,"You're severely dehydrated and your max health has dropped. \n\nMax health lowered by {cvar($buffStatusParchedBlockage:0.0)} x2"
buffStatusHungry01TooltipDM,"You're peckish, max health is reducing"
buffStatusHungry02TooltipDM,"You're hungry, max health has drastically reduced"
buffStatusHungry03TooltipDM,"[FF4F00]You're starving, max health has critically reduced, you're dying!![-]"
buffStatusThirsty01TooltipDM,"You're parched, max health is reducing"
buffStatusThirsty02TooltipDM,"You're thirsty, max health has drastically reduced"
buffStatusThirsty03TooltipDM,"[FF4F00]You're dehydrated, max health has critically reduced, you're dying!![-]"

JarCoffeeDescDM,"Coffee is life, coffee is love.\nSlowly recovers health.\n\nUp to 60% max health."
drinkJarCoffeeDescDM,"The caffeine is revitalising, slowly healing you and warming you up!."
JarHoneyCoffeeDescDM,"Coffee sweetened with honey, provides some nutrients and healing.\nCoffee is life, coffee is love.\nSlowly recovers health."
buffRedTeaDMDesc,Red tea temporarily slows down your metabolism.\n\nYour hunger and hydration has slowed down by 25%.
drinkJarRedHoneyTea,Red Honey Tea
drinkJarRedHoneyTeaDesc,"Provides efficient digestion, fills you up and makes you feel rejuvinated."
drinkJarHoneyCoffee,Honey Coffee
drinkYuccaJuiceDesc,"Helps keep you cool in the heat but makes you colder in low temperatures."
drinkYuccaJuice,Yucca Juice
medicalBloodDrawKit,Blood Draw Kit
medicalBloodDrawKitDesc,"Allows you to draw your own blood, but be careful not to over do it!\n\nCosts 20 Health, 20 Water and 10 Food.\n\nWill make you fatigued.\nMay cause infection!"

WaterPurifier,Water Purifier
WaterPurifierDesc,"Allows you to mostly drink safer at any water source.\nBuilds up a dormant infection instead of instantly infecting you.\n\nTo use, hold it in your toolbelt, look at water, and press interact.\n\nAllows for 50 drinks." 

buffFatiguedDMName,Fatigued
buffFatiguedDMDesc,"Drawing your blood has made you fatigued, you take 1 more damage every time you're hit.\n\nWalk and run speed reduced by 15%."
buffFatiguedTooltip,[FF4F00]Drawing too much blood can be fatal![-]

buffBurnt01DescDM,Thick smoke burns your lungs.\n\nTaking shelter or increasing your Strengthened Constitution and Sturdy Body perks will extend your survival time.
buffDesert01DescDM,Sand and dust fill your lungs.\n\nTaking shelter or increasing your Strengthened Constitution and Sturdy Body perks will help extend your survival time.
buffSnow01DescDM,Brutal cold freezes your lungs.\n\nTaking shelter or increasing your Strengthened Constitution and Sturdy Body perks will extend your survival time.
buffWasteland01DescDM,Leave the area immediately or put on a hazmat suit!
buffWasteland02DescDM,Leave the area immediately or put on a hazmat suit!

buffBloodLossName,Severe Blood Loss
buffBloodLossDesc,"You have drawn too much blood too quickly, drawing more blood will be fatal!\n\nAttempting to draw more blood will [FF4F00]PERMANENTLY[-] lower your max health!!"
buffBloodLossTooltip,[FF4F00]You're drawn too much blood![-]

buffBloodLossDeathPenaltyName,Blood Draw Death Penalty
buffBloodLossDeathPenaltyDesc,"You died while attempting to draw too much blood, your max health lowers by 10 each time."

buff2ndDegreeBurnName,2nd Degree Burns
buff2ndDegreeBurnDesc,A demon's fire ball has burned your skin. You slowly take damage and have an increased chance to get infected.\nGetting hit also adds more damage taken.\n\nTreated with Snowberry Cream.
buff2ndDegreeBurnTooltip,[FF4F00]You have 2nd degree burns![-]

resourceHandgunRepairKit,Handgun Repair Kit
resourceCrossbowRepairKit,Crossbow Repair Kit
resourceTurretRepairKit,Turret Repair Kit
resourceShotgunRepairKit,Shotgun Repair Kit
resourceMechanicalRepairKit,Mechanical Repair Kit
resourceChaingunRepairKit,Chaingun Repair Kit
resourceLauncherRepairKit,Rocket Launcher Repair Kit

resourceClayLumpBundle,Clay Bundle (6000)
resourceScrapBrassBundle,Brass Bundle (6000)

DismantleCrossbowAmmo,Dismantle Crossbow Ammo
DismantleHandgunAmmo,Dismantle Handgun Ammo
DismantleShotgunAmmo,Dismantle Shotgun Ammo
DismantleChaingunAmmo,Dismantle Chaingun Ammo
DismantleAmmodesc,You get back 80% of ammunition crafting resources.
DismantleMotorcycleChassis,Dismantle Motorcycle Chassis
DismantleMotorcycleHandlebars,Dismantle Motorcycle Handlebars
DismantleTruck4x4Chassis,Dismantle Truck4x4 Chassis
DismantleTruck4x4Accessories,Dismantle Truck4x4 Accessories
DismantleGyroCopterChassis,Dismantle GyroCopter Chassis
DismantleGyroCopterAccessories,Dismantle GyroCopter Accessories
DismantleVehicledesc,Dismantle unwanted vehicle parts for a small portion of their recipe cost.

TimedChargedescDM,"The super lockpick, breaks open the toughest of locks in one explosion.\n\nYou need to be holding this for it to work."
StoneAxedesc,"Better than punching boulders, can't be repaired and will eventually break.\nCan only upgrade to wood and scrap iron.\n\nEntity/Block Damage: 6/50\n[FF4F00]Butcher: 50%[-]\nRepair Amount: 50\nRange: 3m\nSpeed: 60/minute\nMod Slots: 0\nDurability: 200"
StoneShoveldesc,"You don't dig this shovel at all, can't be repaired and will eventually break.\n\nEntity/Block Damage: 8/30\nRange: 3.5m\nSpeed: 60/minute\nMod Slots: 0\nDurability: 200"
StoneKnife,Stone Knife
StoneKnifedesc,"Better than your bare fist, can't be repaired and will eventually break.\n\nEntity/Block Damage: 7/5\nButcher: 100%\nRange: 2.25m\nSpeed: 120/minute\nMod Slots: 0\nDurability: 200"
PrimitiveBowdesc,"Weak and fragile, but it lets you attack from a distance.\n\nEntity Damage: 30\nRange: 20m\nVelocity: 35\nMod Slots: 0\nDurability: 100"
StoneArrowDM,Stone Arrow
StoneArrowDMdesc,"Base Entity Damage: 30.\n\nStacks to 100."
plantedSnowberryDesc,Snowberry seeds can be planted on dirt and grassy ground.
foodCropSnowberries,Snowberries
SnowberryDesc,Used for its medicinal properties. Can be eaten raw but may make you sick.
medicalSnowberryCream,Snowberry Cream
medicalSnowberryCreamdesc,Used for treating burns.
foodSackOfSeeds,Sack of Seeds
foodSackOfSeedsDesc,"A sack of random seeds. Can be 'extracted' for a random seed."
foodEdibleSackOfSeeds,Edible Sack of Seeds
foodEdibleSackOfSeedsDesc,"This seed can be eaten if you don't want to plant it."
foodStackofCans,Stack of Cans
foodStackofCansDesc,"A stack of canned food. Can be 'extracted' for a random can of food."
foodHoneycomb,Honeycomb,,Honeycomb,Honeycomb,Honeycomb,Honeycomb,Honeycomb,Honeycomb,Honeycomb,Honeycomb,Honeycomb,Honeycomb,Honeycomb,Honeycomb
foodHoneyDescDM,"Honey is one of mother nature's miracles. It gives you some energy, tastes great!"
foodEdiblePineSeed,Edible Pine Seed
foodEdiblePineSeedDesc,"Hard and not very tasty, but it'll keep you going for a little longer!"
foodBoneBroth,Bone Broth
foodBoneBrothDescDM,"It's not much, but it'll keep you going for a little longer!"
plantedMushroom3HarvestPlayerDM,Mushroom
plantedYucca3HarvestPlayerDM,Yucca Plant
plantedCotton3HarvestPlayerDM,Cotton Plant
plantedCoffee3HarvestPlayerDM,Coffee Plant
plantedGoldenrod3HarvestPlayerDM,Goldenrod Flower
plantedAloe3HarvestPlayerDM,Aloe Vera Plant
plantedBlueberry3HarvestPlayerDM,Blueberry Bush
plantedPotato3HarvestPlayerDM,Potato Plant
plantedChrysanthemum3HarvestPlayerDM,Chrysanthemum Flower
plantedCorn3HarvestPlayerDM,Corn Plant
plantedGraceCorn3HarvestPlayerDM,Super Corn Plant
plantedHop3HarvestPlayerDM,Hops Plant
plantedSnowberry3HarvestPlayerDM,Snowberry Bush
plantedPumpkin3HarvestPlayerDM,Pumpkin Plant
resourceFertiliser,Fertiliser
resourceFertiliserdesc,Used for making farm plots and gunpowder.

Q2toolsName,[CF7F29][Quality 2][-] Tools
Q3toolsName,[A2A41B][Quality 3][-] Tools
Q4toolsName,[42C234][Quality 4][-] Tools
Q5toolsName,[315DCE][Quality 5][-] Tools
Q6toolsName,[400073][Quality 6][-] Tools

FireaxeQ1,[9C8867][Quality 1][-] Fireaxe
FireaxeQ2,[CF7F29][Quality 2][-] Fireaxe
FireaxeQ3,[A2A41B][Quality 3][-] Fireaxe
FireaxeQ4,[42C234][Quality 4][-] Fireaxe
FireaxeQ5,[315DCE][Quality 5][-] Fireaxe
FireaxeQ6,[400073][Quality 6][-] Fireaxe
FireaxeQ1desc,"There's no point in Axing the demons any questions!\n\nEntity/Block Damage: 10/100\nHarvest: 100%\n[FF4F00]Butcher: 50%[-]\nRange: 3.5m\nSpeed: 60/minute\nMod Slots: 0"
FireaxeQ2desc,"There's no point in Axing the demons any questions!\n\nEntity/Block Damage: 11/150\nHarvest: 110%\n[FF4F00]Butcher: 50%[-]\nRange: 3.5m\nSpeed: 66/minute\nMod Slots: 0"
FireaxeQ3desc,"There's no point in Axing the demons any questions!\n\nEntity/Block Damage: 12/200\nHarvest: 120%\n[FF4F00]Butcher: 50%[-]\nRange: 3.5m\nSpeed: 72/minute\nMod Slots: 1"
FireaxeQ4desc,"There's no point in Axing the demons any questions!\n\nEntity/Block Damage: 13/250\nHarvest: 130%\n[FF4F00]Butcher: 50%[-]\nRange: 3.5m\nSpeed: 78/minute\nMod Slots: 1"
FireaxeQ5desc,"There's no point in Axing the demons any questions!\n\nEntity/Block Damage: 14/300\nHarvest: 140%\n[FF4F00]Butcher: 50%[-]\nRange: 3.5m\nSpeed: 84/minute\nMod Slots: 1"
FireaxeQ6desc,"There's no point in Axing the demons any questions!\n\nEntity/Block Damage: 15/400\nHarvest: 150%\n[FF4F00]Butcher: 50%[-]\nRange: 3.5m\nSpeed: 90/minute\nMod Slots: 2"

PickaxeQ1,[9C8867][Quality 1][-] Pickaxe
PickaxeQ2,[CF7F29][Quality 2][-] Pickaxe
PickaxeQ3,[A2A41B][Quality 3][-] Pickaxe
PickaxeQ4,[42C234][Quality 4][-] Pickaxe
PickaxeQ5,[315DCE][Quality 5][-] Pickaxe
PickaxeQ6,[400073][Quality 6][-] Pickaxe
PickaxeQ1desc,"I really want to pick the brains of Frantic Dan. I should be ripping and tearing!\n\nEntity/Block Damage: 10/100\nHarvest: 100%\nRange: 3.5m\nSpeed: 60/minute\nMod Slots: 0"
PickaxeQ2desc,"I really want to pick the brains of Frantic Dan. I should be ripping and tearing!\n\nEntity/Block Damage: 11/150\nHarvest: 110%\nRange: 3.5m\nSpeed: 66/minute\nMod Slots: 0"
PickaxeQ3desc,"I really want to pick the brains of Frantic Dan. I should be ripping and tearing!\n\nEntity/Block Damage: 12/200\nHarvest: 120%\nRange: 3.5m\nSpeed: 72/minute\nMod Slots: 1"
PickaxeQ4desc,"I really want to pick the brains of Frantic Dan. I should be ripping and tearing!\n\nEntity/Block Damage: 13/275\nHarvest: 130%\nRange: 3.5m\nSpeed: 78/minute\nMod Slots: 1"
PickaxeQ5desc,"I really want to pick the brains of Frantic Dan. I should be ripping and tearing!\n\nEntity/Block Damage: 14/350\nHarvest: 140%\nRange: 3.5m\nSpeed: 84/minute\nMod Slots: 1"
PickaxeQ6desc,"I really want to pick the brains of Frantic Dan. I should be ripping and tearing!\n\nEntity/Block Damage: 15/500\nHarvest: 150%\nRange: 3.5m\nSpeed: 90/minute\nMod Slots: 2"

ShovelQ1,[9C8867][Quality 1][-] Shovel
ShovelQ2,[CF7F29][Quality 2][-] Shovel
ShovelQ3,[A2A41B][Quality 3][-] Shovel
ShovelQ4,[42C234][Quality 4][-] Shovel
ShovelQ5,[315DCE][Quality 5][-] Shovel
ShovelQ6,[400073][Quality 6][-] Shovel
ShovelQ1desc,"I am a DoomGuy and I'm digging your grave!\n\nEntity/Block Damage: 10/50\nHarvest: 100%\nRange: 3.5m\nSpeed: 60/minute\nMod Slots: 0"
ShovelQ2desc,"I am a DoomGuy and I'm digging your grave!\n\nEntity/Block Damage: 11/84\nHarvest: 110%\nRange: 3.5m\nSpeed: 66/minute\nMod Slots: 0"
ShovelQ3desc,"I am a DoomGuy and I'm digging your grave!\n\nEntity/Block Damage: 12/135\nHarvest: 120%\nRange: 3.5m\nSpeed: 72/minute\nMod Slots: 1"
ShovelQ4desc,"I am a DoomGuy and I'm digging your grave!\n\nEntity/Block Damage: 13/200\nHarvest: 130%\nRange: 3.5m\nSpeed: 78/minute\nMod Slots: 1"
ShovelQ5desc,"I am a DoomGuy and I'm digging your grave!\n\nEntity/Block Damage: 14/310\nHarvest: 140%\nRange: 3.5m\nSpeed: 84/minute\nMod Slots: 1"
ShovelQ6desc,"I am a DoomGuy and I'm digging your grave!\n\nEntity/Block Damage: 15/390\nHarvest: 150%\nRange: 3.5m\nSpeed: 90/minute\nMod Slots: 2"

ClawHammerWrenchQ2,[CF7F29][Quality 2][-] Claw Hammer and Wrench
ClawHammerWrenchQ3,[A2A41B][Quality 3][-] Claw Hammer and Wrench
ClawHammerWrenchQ4,[42C234][Quality 4][-] Claw Hammer and Wrench
ClawHammerWrenchQ5,[315DCE][Quality 5][-] Claw Hammer and Wrench
ClawHammerWrenchQ6,[400073][Quality 6][-] Claw Hammer and Wrench

ClawHammerQ1,[9C8867][Quality 1][-] Claw Hammer
ClawHammerQ2,[CF7F29][Quality 2][-] Claw Hammer
ClawHammerQ3,[A2A41B][Quality 3][-] Claw Hammer
ClawHammerQ4,[42C234][Quality 4][-] Claw Hammer
