Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
doom_e2m6_desc,quests,Quest,,,,Find a way into E2M6 and clear it out.
doom_e2m6_offer,quests,Quest,,,,Accept to enter E2M6.
doomNoteE2M7,items,Item,,,,E2M7 Teleporter ([42C234]Easy[-])
doomNoteE2M7Desc,items,Item,,,,A teleporter pad that takes you into E2M7: Spawning Vats.
doom_e2m7_name,quests,Quest,,,,E2M7: Spawning Vats
doom_e2m7_subtitle,quests,Quest,,,,E2M7: Spawning Vats
doom_e2m7_desc,quests,Quest,,,,Find a way into E2M7 and clear it out.
doom_e2m7_offer,quests,Quest,,,,Accept to enter E2M7.
doomNoteE2M8,items,Item,,,,E2M8 Teleporter ([42C234]Easy[-])
doomNoteE2M8Desc,items,Item,,,,A teleporter pad that takes you into E2M8: Tower of Babel.
doom_e2m8_name,quests,Quest,,,,E2M8: Tower of Babel
doom_e2m8_subtitle,quests,Quest,,,,E2M8: Tower of Babel
doom_e2m8_desc,quests,Quest,,,,Find a way into E2M8 and clear it out.
doom_e2m8_offer,quests,Quest,,,,Accept to enter E2M8.
doomNoteE2M9,items,Item,,,,E2M9 Teleporter ([42C234]Easy[-])
doomNoteE2M9Desc,items,Item,,,,A teleporter pad that takes you into E2M9: Fortress of Mystery.
doom_e2m9_name,quests,Quest,,,,E2M9: Fortress of Mystery
doom_e2m9_subtitle,quests,Quest,,,,E2M9: Fortress of Mystery
doom_e2m9_desc,quests,Quest,,,,Find a way into E2M9 and clear it out.
doom_e2m9_offer,quests,Quest,,,,Accept to enter E2M9.
doomNoteE3M1,items,Item,,,,E3M1 Teleporter ([42C234]Easy[-])
doomNoteE3M1Desc,items,Item,,,,A teleporter pad that takes you into E3M1: Hell Keep.
doom_e3m1_name,quests,Quest,,,,E3M1: Hell Keep
doom_e3m1_subtitle,quests,Quest,,,,E3M1: Hell Keep
doom_e3m1_desc,quests,Quest,,,,Find a way into E3M1 and clear it out.
doom_e3m1_offer,quests,Quest,,,,Accept to enter E3M1.
doomNoteE3M2,items,Item,,,,E3M2 Teleporter ([42C234]Easy[-])
doomNoteE3M2Desc,items,Item,,,,A teleporter pad that takes you into E3M2: Slough of Despair.
doom_e3m2_name,quests,Quest,,,,E3M2: Slough of Despair
doom_e3m2_subtitle,quests,Quest,,,,E3M2: Slough of Despair
doom_e3m2_desc,quests,Quest,,,,Find a way into E3M2 and clear it out.
doom_e3m2_offer,quests,Quest,,,,Accept to enter E3M2.
doomNoteE3M3,items,Item,,,,E3M3 Teleporter ([42C234]Easy[-])
doomNoteE3M3Desc,items,Item,,,,A teleporter pad that takes you into E3M3: Pandemonium.
doom_e3m3_name,quests,Quest,,,,E3M3: Pandemonium
doom_e3m3_subtitle,quests,Quest,,,,E3M3: Pandemonium
doom_e3m3_desc,quests,Quest,,,,Find a way into E3M3 and clear it out.
doom_e3m3_offer,quests,Quest,,,,Accept to enter E3M3.
doomNoteE3M4,items,Item,,,,E3M4 Teleporter ([42C234]Easy[-])
doomNoteE3M4Desc,items,Item,,,,A teleporter pad that takes you into E3M4: House of Pain.
doom_e3m4_name,quests,Quest,,,,E3M4: House of Pain
doom_e3m4_subtitle,quests,Quest,,,,E3M4: House of Pain
doom_e3m4_desc,quests,Quest,,,,Find a way into E3M4 and clear it out.
doom_e3m4_offer,quests,Quest,,,,Accept to enter E3M4.
doomNoteE3M5,items,Item,,,,E3M5 Teleporter ([42C234]Easy[-])
doomNoteE3M5Desc,items,Item,,,,A teleporter pad that takes you into E3M5: Unholy Cathedral.
doom_e3m5_name,quests,Quest,,,,E3M5: Unholy Cathedral
doom_e3m5_subtitle,quests,Quest,,,,E3M5: Unholy Cathedral
doom_e3m5_desc,quests,Quest,,,,Find a way into E3M5 and clear it out.
doom_e3m5_offer,quests,Quest,,,,Accept to enter E3M5.
doomNoteE3M6,items,Item,,,,E3M6 Teleporter ([42C234]Easy[-])
doomNoteE3M6Desc,items,Item,,,,A teleporter pad that takes you into E3M6: Mt. Erebus.
doom_e3m6_name,quests,Quest,,,,E3M6: Mt. Erebus
doom_e3m6_subtitle,quests,Quest,,,,E3M6: Mt. Erebus
doom_e3m6_desc,quests,Quest,,,,Find a way into E3M6 and clear it out.
doom_e3m6_offer,quests,Quest,,,,Accept to enter E3M6.
doomNoteE3M7,items,Item,,,,E3M7 Teleporter ([42C234]Easy[-])
doomNoteE3M7Desc,items,Item,,,,A teleporter pad that takes you into E3M7: Limbo.
doom_e3m7_name,quests,Quest,,,,E3M7: Limbo
doom_e3m7_subtitle,quests,Quest,,,,E3M7: Limbo
doom_e3m7_desc,quests,Quest,,,,Find a way into E3M7 and clear it out.
doom_e3m7_offer,quests,Quest,,,,Accept to enter E3M7.
doomNoteE3M8,items,Item,,,,E3M8 Teleporter ([42C234]Easy[-])
doomNoteE3M8Desc,items,Item,,,,A teleporter pad that takes you into E3M8: Dis.
doom_e3m8_name,quests,Quest,,,,E3M8: Dis
doom_e3m8_subtitle,quests,Quest,,,,E3M8: Dis
doom_e3m8_desc,quests,Quest,,,,Find a way into E3M8 and clear it out.
doom_e3m8_offer,quests,Quest,,,,Accept to enter E3M8.
doomNoteE3M9,items,Item,,,,E3M9 Teleporter ([42C234]Easy[-])
doomNoteE3M9Desc,items,Item,,,,A teleporter pad that takes you into E3M9: Warrens.
doom_e3m9_name,quests,Quest,,,,E3M9: Warrens
doom_e3m9_subtitle,quests,Quest,,,,E3M9: Warrens
doom_e3m9_desc,quests,Quest,,,,Find a way into E3M9 and clear it out.
doom_e3m9_offer,quests,Quest,,,,Accept to enter E3M9.
doomNoteE4M1,items,Item,,,,E4M1 Teleporter ([42C234]Easy[-])
doomNoteE4M1Desc,items,Item,,,,A teleporter pad that takes you into E4M1: Hell Beneath.
doom_e4m1_name,quests,Quest,,,,E4M1: Hell Beneath
doom_e4m1_subtitle,quests,Quest,,,,E4M1: Hell Beneath
doom_e4m1_desc,quests,Quest,,,,Find a way into E4M1 and clear it out.
doom_e4m1_offer,quests,Quest,,,,Accept to enter E4M1.
doomNoteE4M2,items,Item,,,,E4M2 Teleporter ([42C234]Easy[-])
doomNoteE4M2Desc,items,Item,,,,A teleporter pad that takes you into E4M2: Perfect Hatred.
doom_e4m2_name,quests,Quest,,,,E4M2: Perfect Hatred
doom_e4m2_subtitle,quests,Quest,,,,E4M2: Perfect Hatred
doom_e4m2_desc,quests,Quest,,,,Find a way into E4M2 and clear it out.
doom_e4m2_offer,quests,Quest,,,,Accept to enter E4M2.
doomNoteE4M3,items,Item,,,,E4M3 Teleporter ([42C234]Easy[-])
doomNoteE4M3Desc,items,Item,,,,A teleporter pad that takes you into E4M3: Sever the Wicked.
doom_e4m3_name,quests,Quest,,,,E4M3: Sever the Wicked
doom_e4m3_subtitle,quests,Quest,,,,E4M3: Sever the Wicked
doom_e4m3_desc,quests,Quest,,,,Find a way into E4M3 and clear it out.
doom_e4m3_offer,quests,Quest,,,,Accept to enter E4M3.
doomNoteE4M4,items,Item,,,,E4M4 Teleporter ([42C234]Easy[-])
doomNoteE4M4Desc,items,Item,,,,A teleporter pad that takes you into E4M4: Unruly Evil.
doom_e4m4_name,quests,Quest,,,,E4M4: Unruly Evil
doom_e4m4_subtitle,quests,Quest,,,,E4M4: Unruly Evil
doom_e4m4_desc,quests,Quest,,,,Find a way into E4M4 and clear it out.
doom_e4m4_offer,quests,Quest,,,,Accept to enter E4M4.
doomNoteE4M5,items,Item,,,,E4M5 Teleporter ([42C234]Easy[-])
doomNoteE4M5Desc,items,Item,,,,A teleporter pad that takes you into E4M5: They Will Repent.
doom_e4m5_name,quests,Quest,,,,E4M5: They Will Repent
doom_e4m5_subtitle,quests,Quest,,,,E4M5: They Will Repent
doom_e4m5_desc,quests,Quest,,,,Find a way into E4M5 and clear it out.
doom_e4m5_offer,quests,Quest,,,,Accept to enter E4M5.
doomNoteE4M6,items,Item,,,,E4M6 Teleporter ([42C234]Easy[-])
doomNoteE4M6Desc,items,Item,,,,A teleporter pad that takes you into E4M6: Against thee Wickedly.
doom_e4m6_name,quests,Quest,,,,E4M6: Against thee Wickedly
doom_e4m6_subtitle,quests,Quest,,,,E4M6: Against thee Wickedly
doom_e4m6_desc,quests,Quest,,,,Find a way into E4M6 and clear it out.
doom_e4m6_offer,quests,Quest,,,,Accept to enter E4M6.
doomNoteE4M7,items,Item,,,,E4M7 Teleporter ([42C234]Easy[-])
doomNoteE4M7Desc,items,Item,,,,A teleporter pad that takes you into E4M7: And Hell Followed.
doom_e4m7_name,quests,Quest,,,,E4M7: And Hell Followed
doom_e4m7_subtitle,quests,Quest,,,,E4M7: And Hell Followed
doom_e4m7_desc,quests,Quest,,,,Find a way into E4M7 and clear it out.
doom_e4m7_offer,quests,Quest,,,,Accept to enter E4M7.
doomNoteE4M8,items,Item,,,,E4M8 Teleporter ([42C234]Easy[-])
doomNoteE4M8Desc,items,Item,,,,A teleporter pad that takes you into E4M8: Unto the Cruel.
doom_e4m8_name,quests,Quest,,,,E4M8: Unto the Cruel
doom_e4m8_subtitle,quests,Quest,,,,E4M8: Unto the Cruel
doom_e4m8_desc,quests,Quest,,,,Find a way into E4M8 and clear it out.
doom_e4m8_offer,quests,Quest,,,,Accept to enter E4M8.
doomNoteE4M9,items,Item,,,,E4M9 Teleporter ([42C234]Easy[-])
doomNoteE4M9Desc,items,Item,,,,A teleporter pad that takes you into E4M9: Fear.
doom_e4m9_name,quests,Quest,,,,E4M9: Fear
doom_e4m9_subtitle,quests,Quest,,,,E4M9: Fear
doom_e4m9_desc,quests,Quest,,,,Find a way into E4M9 and clear it out.
doom_e4m9_offer,quests,Quest,,,,Accept to enter E4M9.
doomNoteMAP01,items,Item,,,,MAP01 Teleporter ([42C234]Easy[-])
doomNoteMAP01Desc,items,Item,,,,A teleporter pad that takes you into MAP01: Entryway.
doom_map01_name,quests,Quest,,,,MAP01: Entryway
doom_map01_subtitle,quests,Quest,,,,MAP01: Entryway
doom_map01_desc,quests,Quest,,,,Find a way into MAP01 and clear it out.
doom_map01_offer,quests,Quest,,,,Accept to enter MAP01.
doomNoteMAP02,items,Item,,,,MAP02 Teleporter ([42C234]Easy[-])
doomNoteMAP02Desc,items,Item,,,,A teleporter pad that takes you into MAP02: Underhalls.
doom_map02_name,quests,Quest,,,,MAP02: Underhalls
doom_map02_subtitle,quests,Quest,,,,MAP02: Underhalls
doom_map02_desc,quests,Quest,,,,Find a way into MAP02 and clear it out.
doom_map02_offer,quests,Quest,,,,Accept to enter MAP02.
doomNoteMAP03,items,Item,,,,MAP03 Teleporter ([42C234]Easy[-])
doomNoteMAP03Desc,items,Item,,,,A teleporter pad that takes you into MAP03: The Gantlet.
doom_map03_name,quests,Quest,,,,MAP03: The Gantlet
doom_map03_subtitle,quests,Quest,,,,MAP03: The Gantlet
doom_map03_desc,quests,Quest,,,,Find a way into MAP03 and clear it out.
doom_map03_offer,quests,Quest,,,,Accept to enter MAP03.
doomNoteMAP04,items,Item,,,,MAP04 Teleporter ([42C234]Easy[-])
doomNoteMAP04Desc,items,Item,,,,A teleporter pad that takes you into MAP04: The Focus.
doom_map04_name,quests,Quest,,,,MAP04: The Focus
doom_map04_subtitle,quests,Quest,,,,MAP04: The Focus
doom_map04_desc,quests,Quest,,,,Find a way into MAP04 and clear it out.
doom_map04_offer,quests,Quest,,,,Accept to enter MAP04.
doomNoteMAP05,items,Item,,,,MAP05 Teleporter ([42C234]Easy[-])
doomNoteMAP05Desc,items,Item,,,,A teleporter pad that takes you into MAP05: The Waste Tunnels.
doom_map05_name,quests,Quest,,,,MAP05: The Waste Tunnels
doom_map05_subtitle,quests,Quest,,,,MAP05: The Waste Tunnels
doom_map05_desc,quests,Quest,,,,Find a way into MAP05 and clear it out.
doom_map05_offer,quests,Quest,,,,Accept to enter MAP05.
doomNoteMAP06,items,Item,,,,MAP06 Teleporter ([42C234]Easy[-])
doomNoteMAP06Desc,items,Item,,,,A teleporter pad that takes you into MAP06: The Crusher.
doom_map06_name,quests,Quest,,,,MAP06: The Crusher
doom_map06_subtitle,quests,Quest,,,,MAP06: The Crusher
doom_map06_desc,quests,Quest,,,,Find a way into MAP06 and clear it out.
doom_map06_offer,quests,Quest,,,,Accept to enter MAP06.
doomNoteMAP07,items,Item,,,,MAP07 Teleporter ([42C234]Easy[-])
doomNoteMAP07Desc,items,Item,,,,A teleporter pad that takes you into MAP07: Dead Simple.
doom_map07_name,quests,Quest,,,,MAP07: Dead Simple
doom_map07_subtitle,quests,Quest,,,,MAP07: Dead Simple
doom_map07_desc,quests,Quest,,,,Find a way into MAP07 and clear it out.
doom_map07_offer,quests,Quest,,,,Accept to enter MAP07.
doomNoteMAP08,items,Item,,,,MAP08 Teleporter ([42C234]Easy[-])
doomNoteMAP08Desc,items,Item,,,,A teleporter pad that takes you into MAP08: Tricks and Traps.
doom_map08_name,quests,Quest,,,,MAP08: Tricks and Traps
doom_map08_subtitle,quests,Quest,,,,MAP08: Tricks and Traps
doom_map08_desc,quests,Quest,,,,Find a way into MAP08 and clear it out.
doom_map08_offer,quests,Quest,,,,Accept to enter MAP08.
doomNoteMAP09,items,Item,,,,MAP09 Teleporter([42C234]Easy[-])
doomNoteMAP09Desc,items,Item,,,,A teleporter pad that takes you into MAP09: The Pit.
doom_map09_name,quests,Quest,,,,MAP09: The Pit
doom_map09_subtitle,quests,Quest,,,,MAP09: The Pit
doom_map09_desc,quests,Quest,,,,Find a way into MAP09 and clear it out.
doom_map09_offer,quests,Quest,,,,Accept to enter MAP09.
doomNoteMAP10,items,Item,,,,MAP10 Teleporter ([42C234]Easy[-])
doomNoteMAP10Desc,items,Item,,,,A teleporter pad that takes you into MAP10: Refueling Base.
doom_map10_name,quests,Quest,,,,MAP10: Refueling Base
doom_map10_subtitle,quests,Quest,,,,MAP10: Refueling Base
doom_map10_desc,quests,Quest,,,,Find a way into MAP10 and clear it out.
doom_map10_offer,quests,Quest,,,,Accept to enter MAP10.
doomNoteMAP11,items,Item,,,,MAP11 Teleporter ([42C234]Easy[-])
doomNoteMAP11Desc,items,Item,,,,A teleporter pad that takes you into MAP11: Circle of Death.
doom_map11_name,quests,Quest,,,,MAP11: Circle of Death
doom_map11_subtitle,quests,Quest,,,,MAP11: Circle of Death
doom_map11_desc,quests,Quest,,,,Find a way into MAP11 and clear it out.
doom_map11_offer,quests,Quest,,,,Accept to enter MAP11.
doomNoteMAP12,items,Item,,,,MAP12 Teleporter ([42C234]Easy[-])
doomNoteMAP12Desc,items,Item,,,,A teleporter pad that takes you into MAP12: The Factory.
doom_map12_name,quests,Quest,,,,MAP12: The Factory
doom_map12_subtitle,quests,Quest,,,,MAP12: The Factory
doom_map12_desc,quests,Quest,,,,Find a way into MAP12 and clear it out.
doom_map12_offer,quests,Quest,,,,Accept to enter MAP12.
doomNoteMAP13,items,Item,,,,MAP13 Teleporter ([42C234]Easy[-])
doomNoteMAP13Desc,items,Item,,,,A teleporter pad that takes you into MAP13: Downtown.
doom_map13_name,quests,Quest,,,,MAP13: Downtown
doom_map13_subtitle,quests,Quest,,,,MAP13: Downtown
doom_map13_desc,quests,Quest,,,,Find a way into MAP13 and clear it out.
doom_map13_offer,quests,Quest,,,,Accept to enter MAP13.
doomNoteMAP14,items,Item,,,,MAP14 Teleporter ([42C234]Easy[-])
doomNoteMAP14Desc,items,Item,,,,A teleporter pad that takes you into MAP14: The Inmost Dens.
doom_map14_name,quests,Quest,,,,MAP14: The Inmost Dens
doom_map14_subtitle,quests,Quest,,,,MAP14: The Inmost Dens
doom_map14_desc,quests,Quest,,,,Find a way into MAP14 and clear it out.
doom_map14_offer,quests,Quest,,,,Accept to enter MAP14.
doomNoteMAP15,items,Item,,,,MAP15 Teleporter ([42C234]Easy[-])
doomNoteMAP15Desc,items,Item,,,,A teleporter pad that takes you into MAP15: Industrial Zone.
doom_map15_name,quests,Quest,,,,MAP15: Industrial Zone
doom_map15_subtitle,quests,Quest,,,,MAP15: Industrial Zone
doom_map15_desc,quests,Quest,,,,Find a way into MAP15 and clear it out.
doom_map15_offer,quests,Quest,,,,Accept to enter MAP15.
doomNoteMAP16,items,Item,,,,MAP16 Teleporter ([42C234]Easy[-])
doomNoteMAP16Desc,items,Item,,,,A teleporter pad that takes you into MAP16: Suburbs.
doom_map16_name,quests,Quest,,,,MAP16: Suburbs
doom_map16_subtitle,quests,Quest,,,,MAP16: Suburbs
doom_map16_desc,quests,Quest,,,,Find a way into MAP16 and clear it out.
doom_map16_offer,quests,Quest,,,,Accept to enter MAP16.
doomNoteMAP17,items,Item,,,,MAP17 Teleporter ([42C234]Easy[-])
doomNoteMAP17Desc,items,Item,,,,A teleporter pad that takes you into MAP17: Tenements.
doom_map17_name,quests,Quest,,,,MAP17: Tenements
doom_map17_subtitle,quests,Quest,,,,MAP17: Tenements
doom_map17_desc,quests,Quest,,,,Find a way into MAP17 and clear it out.
doom_map17_offer,quests,Quest,,,,Accept to enter MAP17.
doomNoteMAP18,items,Item,,,,MAP18 Teleporter ([42C234]Easy[-])
doomNoteMAP18Desc,items,Item,,,,A teleporter pad that takes you into MAP18: The Courtyard.
doom_map18_name,quests,Quest,,,,MAP18: The Courtyard
doom_map18_subtitle,quests,Quest,,,,MAP18: The Courtyard
doom_map18_desc,quests,Quest,,,,Find a way into MAP18 and clear it out.
doom_map18_offer,quests,Quest,,,,Accept to enter MAP18.
doomNoteMAP19,items,Item,,,,MAP19 Teleporter ([42C234]Easy[-])
doomNoteMAP19Desc,items,Item,,,,A teleporter pad that takes you into MAP19: The Citadel.
doom_map19_name,quests,Quest,,,,MAP19: The Citadel
doom_map19_subtitle,quests,Quest,,,,MAP19: The Citadel
doom_map19_desc,quests,Quest,,,,Find a way into MAP19 and clear it out.
doom_map19_offer,quests,Quest,,,,Accept to enter MAP19.
doomNoteMAP20,items,Item,,,,MAP20 Teleporter ([42C234]Easy[-])
doomNoteMAP20Desc,items,Item,,,,A teleporter pad that takes you into MAP20: Gotcha!
doom_map20_name,quests,Quest,,,,MAP20: Gotcha!
doom_map20_subtitle,quests,Quest,,,,MAP20: Gotcha!
doom_map20_desc,quests,Quest,,,,Find a way into MAP20 and clear it out.
doom_map20_offer,quests,Quest,,,,Accept to enter MAP20.
doomNoteMAP21,items,Item,,,,MAP21 Teleporter ([42C234]Easy[-])
doomNoteMAP21Desc,items,Item,,,,A teleporter pad that takes you into MAP21: Nirvana.
doom_map21_name,quests,Quest,,,,MAP21: Nirvana
doom_map21_subtitle,quests,Quest,,,,MAP21: Nirvana
